lat,lon,ssh_m,sla_m,adt_m,source,date
30.1875,-75.8125,0.6952,0.0088,0.6952,CMEMS_ALT,2026-09-11
30.1875,-75.6875,0.7309,0.048,0.7309,CMEMS_ALT,2026-09-11
30.1875,-75.5625,0.7588,0.079,0.7588,CMEMS_ALT,2026-09-11
30.1875,-75.4375,0.7718,0.0962,0.7718,CMEMS_ALT,2026-09-11
30.1875,-75.3125,0.7687,0.0999,0.7687,CMEMS_ALT,2026-09-11
30.3125,-81.4375,0.1961,0.1926,0.1961,CMEMS_ALT,2026-09-11
30.3125,-81.3125,0.1971,0.1878,0.1971,CMEMS_ALT,2026-09-11
30.3125,-81.1875,0.1685,0.1813,0.1685,CMEMS_ALT,2026-09-11
30.3125,-81.0625,0.1496,0.1722,0.1496,CMEMS_ALT,2026-09-11
30.3125,-80.9375,0.1182,0.1603,0.1182,CMEMS_ALT,2026-09-11
30.3125,-80.8125,0.0912,0.1469,0.0912,CMEMS_ALT,2026-09-11
30.3125,-80.6875,0.0891,0.1345,0.0891,CMEMS_ALT,2026-09-11
30.3125,-80.5625,0.068,0.1252,0.068,CMEMS_ALT,2026-09-11
30.3125,-80.4375,0.067,0.1191,0.067,CMEMS_ALT,2026-09-11
30.3125,-80.3125,0.0774,0.1145,0.0774,CMEMS_ALT,2026-09-11
30.3125,-80.1875,0.1051,0.1095,0.1051,CMEMS_ALT,2026-09-11
30.3125,-80.0625,0.1899,0.1034,0.1899,CMEMS_ALT,2026-09-11
30.3125,-79.9375,0.3131,0.0974,0.3131,CMEMS_ALT,2026-09-11
30.3125,-79.8125,0.4475,0.0944,0.4475,CMEMS_ALT,2026-09-11
30.3125,-79.6875,0.5642,0.098,0.5642,CMEMS_ALT,2026-09-11
30.3125,-79.5625,0.6634,0.1111,0.6634,CMEMS_ALT,2026-09-11
30.3125,-79.4375,0.7539,0.1331,0.7539,CMEMS_ALT,2026-09-11
30.3125,-79.3125,0.8307,0.1595,0.8307,CMEMS_ALT,2026-09-11
30.3125,-79.1875,0.8773,0.1843,0.8773,CMEMS_ALT,2026-09-11
30.3125,-79.0625,0.9132,0.2033,0.9132,CMEMS_ALT,2026-09-11
30.3125,-78.9375,0.9327,0.2168,0.9327,CMEMS_ALT,2026-09-11
30.3125,-78.8125,0.9489,0.2286,0.9489,CMEMS_ALT,2026-09-11
30.3125,-78.6875,0.9725,0.2432,0.9725,CMEMS_ALT,2026-09-11
30.3125,-78.5625,0.9859,0.263,0.9859,CMEMS_ALT,2026-09-11
30.3125,-78.4375,1.0016,0.2868,1.0016,CMEMS_ALT,2026-09-11
30.3125,-78.3125,1.0091,0.3104,1.0091,CMEMS_ALT,2026-09-11
30.3125,-78.1875,1.011,0.3281,1.011,CMEMS_ALT,2026-09-11
30.3125,-78.0625,0.9996,0.3355,0.9996,CMEMS_ALT,2026-09-11
30.3125,-77.9375,0.9803,0.3318,0.9803,CMEMS_ALT,2026-09-11
30.3125,-77.8125,0.9549,0.3201,0.9549,CMEMS_ALT,2026-09-11
30.3125,-77.6875,0.9399,0.3047,0.9399,CMEMS_ALT,2026-09-11
30.3125,-77.5625,0.92,0.2875,0.92,CMEMS_ALT,2026-09-11
30.3125,-77.4375,0.8991,0.2661,0.8991,CMEMS_ALT,2026-09-11
30.3125,-77.3125,0.8802,0.237,0.8802,CMEMS_ALT,2026-09-11
30.3125,-77.1875,0.8509,0.1981,0.8509,CMEMS_ALT,2026-09-11
30.3125,-77.0625,0.8121,0.1511,0.8121,CMEMS_ALT,2026-09-11
30.3125,-76.9375,0.7702,0.1004,0.7702,CMEMS_ALT,2026-09-11
30.3125,-76.8125,0.7273,0.0503,0.7273,CMEMS_ALT,2026-09-11
30.3125,-76.6875,0.6873,0.0034,0.6873,CMEMS_ALT,2026-09-11
30.3125,-76.5625,0.6496,-0.0384,0.6496,CMEMS_ALT,2026-09-11
30.3125,-76.4375,0.62,-0.0726,0.62,CMEMS_ALT,2026-09-11
30.3125,-76.3125,0.6031,-0.0946,0.6031,CMEMS_ALT,2026-09-11
30.3125,-76.1875,0.5961,-0.0997,0.5961,CMEMS_ALT,2026-09-11
30.3125,-76.0625,0.6036,-0.0858,0.6036,CMEMS_ALT,2026-09-11
30.3125,-75.9375,0.6345,-0.0551,0.6345,CMEMS_ALT,2026-09-11
30.3125,-75.8125,0.6718,-0.0141,0.6718,CMEMS_ALT,2026-09-11
30.3125,-75.6875,0.7105,0.0281,0.7105,CMEMS_ALT,2026-09-11
30.3125,-75.5625,0.7412,0.0629,0.7412,CMEMS_ALT,2026-09-11
30.3125,-75.4375,0.7607,0.0858,0.7607,CMEMS_ALT,2026-09-11
30.3125,-75.3125,0.7666,0.097,0.7666,CMEMS_ALT,2026-09-11
30.4375,-81.4375,0.2917,0.2096,0.2917,CMEMS_ALT,2026-09-11
30.4375,-81.3125,0.2222,0.2067,0.2222,CMEMS_ALT,2026-09-11
30.4375,-81.1875,0.1929,0.2008,0.1929,CMEMS_ALT,2026-09-11
30.4375,-81.0625,0.1675,0.1926,0.1675,CMEMS_ALT,2026-09-11
30.4375,-80.9375,0.1497,0.1831,0.1497,CMEMS_ALT,2026-09-11
30.4375,-80.8125,0.1277,0.1744,0.1277,CMEMS_ALT,2026-09-11
30.4375,-80.6875,0.1181,0.1689,0.1181,CMEMS_ALT,2026-09-11
30.4375,-80.5625,0.1225,0.1669,0.1225,CMEMS_ALT,2026-09-11
30.4375,-80.4375,0.1131,0.1662,0.1131,CMEMS_ALT,2026-09-11
30.4375,-80.3125,0.1237,0.1637,0.1237,CMEMS_ALT,2026-09-11
30.4375,-80.1875,0.1415,0.1575,0.1415,CMEMS_ALT,2026-09-11
30.4375,-80.0625,0.206,0.1474,0.206,CMEMS_ALT,2026-09-11
30.4375,-79.9375,0.3192,0.1356,0.3192,CMEMS_ALT,2026-09-11
30.4375,-79.8125,0.4443,0.1256,0.4443,CMEMS_ALT,2026-09-11
30.4375,-79.6875,0.558,0.1217,0.558,CMEMS_ALT,2026-09-11
30.4375,-79.5625,0.6531,0.1277,0.6531,CMEMS_ALT,2026-09-11
30.4375,-79.4375,0.7459,0.1444,0.7459,CMEMS_ALT,2026-09-11
30.4375,-79.3125,0.8243,0.1684,0.8243,CMEMS_ALT,2026-09-11
30.4375,-79.1875,0.881,0.1936,0.881,CMEMS_ALT,2026-09-11
30.4375,-79.0625,0.9234,0.2146,0.9234,CMEMS_ALT,2026-09-11
30.4375,-78.9375,0.946,0.2304,0.946,CMEMS_ALT,2026-09-11
30.4375,-78.8125,0.975,0.244,0.975,CMEMS_ALT,2026-09-11
30.4375,-78.6875,0.9998,0.2601,0.9998,CMEMS_ALT,2026-09-11
30.4375,-78.5625,1.0162,0.2822,1.0162,CMEMS_ALT,2026-09-11
30.4375,-78.4375,1.0326,0.3099,1.0326,CMEMS_ALT,2026-09-11
30.4375,-78.3125,1.0481,0.3388,1.0481,CMEMS_ALT,2026-09-11
30.4375,-78.1875,1.0512,0.3619,1.0512,CMEMS_ALT,2026-09-11
30.4375,-78.0625,1.0449,0.373,1.0449,CMEMS_ALT,2026-09-11
30.4375,-77.9375,1.0281,0.3705,1.0281,CMEMS_ALT,2026-09-11
30.4375,-77.8125,1.0035,0.3576,1.0035,CMEMS_ALT,2026-09-11
30.4375,-77.6875,0.9823,0.3389,0.9823,CMEMS_ALT,2026-09-11
30.4375,-77.5625,0.9549,0.3159,0.9549,CMEMS_ALT,2026-09-11
30.4375,-77.4375,0.9258,0.2859,0.9258,CMEMS_ALT,2026-09-11
30.4375,-77.3125,0.8946,0.2449,0.8946,CMEMS_ALT,2026-09-11
30.4375,-77.1875,0.8499,0.1914,0.8499,CMEMS_ALT,2026-09-11
30.4375,-77.0625,0.795,0.1284,0.795,CMEMS_ALT,2026-09-11
30.4375,-76.9375,0.7386,0.0626,0.7386,CMEMS_ALT,2026-09-11
30.4375,-76.8125,0.681,0.0009,0.681,CMEMS_ALT,2026-09-11
30.4375,-76.6875,0.6329,-0.0522,0.6329,CMEMS_ALT,2026-09-11
30.4375,-76.5625,0.5917,-0.0942,0.5917,CMEMS_ALT,2026-09-11
30.4375,-76.4375,0.5655,-0.1229,0.5655,CMEMS_ALT,2026-09-11
30.4375,-76.3125,0.5544,-0.1358,0.5544,CMEMS_ALT,2026-09-11
30.4375,-76.1875,0.5562,-0.1312,0.5562,CMEMS_ALT,2026-09-11
30.4375,-76.0625,0.5765,-0.1098,0.5765,CMEMS_ALT,2026-09-11
30.4375,-75.9375,0.6095,-0.0752,0.6095,CMEMS_ALT,2026-09-11
30.4375,-75.8125,0.65,-0.0332,0.65,CMEMS_ALT,2026-09-11
30.4375,-75.6875,0.691,0.0093,0.691,CMEMS_ALT,2026-09-11
30.4375,-75.5625,0.7261,0.0463,0.7261,CMEMS_ALT,2026-09-11
30.4375,-75.4375,0.7502,0.0745,0.7502,CMEMS_ALT,2026-09-11
30.4375,-75.3125,0.7675,0.0943,0.7675,CMEMS_ALT,2026-09-11
30.5625,-81.4375,0.3138,0.2235,0.3138,CMEMS_ALT,2026-09-11
30.5625,-81.3125,0.2545,0.2224,0.2545,CMEMS_ALT,2026-09-11
30.5625,-81.1875,0.2152,0.2182,0.2152,CMEMS_ALT,2026-09-11
30.5625,-81.0625,0.1931,0.2121,0.1931,CMEMS_ALT,2026-09-11
30.5625,-80.9375,0.1681,0.2068,0.1681,CMEMS_ALT,2026-09-11
30.5625,-80.8125,0.1563,0.2047,0.1563,CMEMS_ALT,2026-09-11
30.5625,-80.6875,0.1622,0.2073,0.1622,CMEMS_ALT,2026-09-11
30.5625,-80.5625,0.162,0.2128,0.162,CMEMS_ALT,2026-09-11
30.5625,-80.4375,0.1735,0.2169,0.1735,CMEMS_ALT,2026-09-11
30.5625,-80.3125,0.1659,0.2154,0.1659,CMEMS_ALT,2026-09-11
30.5625,-80.1875,0.1724,0.2064,0.1724,CMEMS_ALT,2026-09-11
30.5625,-80.0625,0.2196,0.1913,0.2196,CMEMS_ALT,2026-09-11
30.5625,-79.9375,0.3122,0.1733,0.3122,CMEMS_ALT,2026-09-11
30.5625,-79.8125,0.4275,0.1566,0.4275,CMEMS_ALT,2026-09-11
30.5625,-79.6875,0.5383,0.1455,0.5383,CMEMS_ALT,2026-09-11
30.5625,-79.5625,0.6357,0.1439,0.6357,CMEMS_ALT,2026-09-11
30.5625,-79.4375,0.7255,0.1536,0.7255,CMEMS_ALT,2026-09-11
30.5625,-79.3125,0.8075,0.1725,0.8075,CMEMS_ALT,2026-09-11
30.5625,-79.1875,0.8707,0.1957,0.8707,CMEMS_ALT,2026-09-11
30.5625,-79.0625,0.9176,0.2179,0.9176,CMEMS_ALT,2026-09-11
30.5625,-78.9375,0.9526,0.2372,0.9526,CMEMS_ALT,2026-09-11
30.5625,-78.8125,0.9907,0.2554,0.9907,CMEMS_ALT,2026-09-11
30.5625,-78.6875,1.0275,0.2761,1.0275,CMEMS_ALT,2026-09-11
30.5625,-78.5625,1.0439,0.3025,1.0439,CMEMS_ALT,2026-09-11
30.5625,-78.4375,1.0657,0.3347,1.0657,CMEMS_ALT,2026-09-11
30.5625,-78.3125,1.0862,0.3686,1.0862,CMEMS_ALT,2026-09-11
30.5625,-78.1875,1.096,0.3969,1.096,CMEMS_ALT,2026-09-11
30.5625,-78.0625,1.0939,0.4127,1.0939,CMEMS_ALT,2026-09-11
